SchoolN,State Name,NCESSCH,School Name,Agency Name
FOX CHAPEL ELEMENTARY,Maryland,240048000834,Fox Chapel Elementary,Montgomery County Public Schools
FRANCES FUCHS EARLY CHILDHOOD CENTER,Maryland,240051001134,Frances Fuchs Early Childhood Center,Prince George's County Public Schools
FRANCIS SCOTT KEY ELEMENTARY,Maryland,240051001050,Francis Scott Key Elementary,Prince George's County Public Schools
FRANCIS SCOTT KEY ELEMENTARY/MIDDLE,Maryland,240009000205,Francis Scott Key Elementary/Middle,Baltimore City Public Schools
FRANCIS SCOTT KEY HIGH,Maryland,240021000533,Francis Scott Key High,Carroll County Public Schools
FRANCIS SCOTT KEY MIDDLE,Maryland,240048090453,Francis Scott Key Middle,Montgomery County Public Schools
FRANCIS T. EVANS ELEMENTARY,Maryland,240051001035,Francis T. Evans Elementary,Prince George's County Public Schools
FRANKLIN ELEMENTARY,Maryland,240012000388,Franklin Elementary,Baltimore County Public Schools
FRANKLIN HIGH,Maryland,240012000390,Franklin High,Baltimore County Public Schools
FRANKLIN MIDDLE,Maryland,240012000389,Franklin Middle,Baltimore County Public Schools
FRANKLIN SQUARE ELEMENTARY/MIDDLE,Maryland,240009000208,Franklin Square Elementary/Middle,Baltimore City Public Schools
FREDERICK CLASSICAL CHARTER,Maryland,240033001715,Frederick Classical Charter School,Frederick County Public Schools
FREDERICK COUNTY CAREER & TECHNOLOGY CENTER,Maryland,240033001011,Frederick County Career & Technology Center,Frederick County Public Schools
FREDERICK COUNTY VIRTUAL,Maryland,240033001007,Frederick County Virtual School,Frederick County Public Schools
FREDERICK DOUGLASS HIGH,Maryland,240009000209,Frederick Douglass High,Baltimore City Public Schools
FREDERICK DOUGLASS HIGH,Maryland,240051001036,Frederick Douglass High,Prince George's County Public Schools
FREDERICK ELEMENTARY,Maryland,240009001430,Frederick Elementary,Baltimore City Public Schools
FREDERICK HIGH,Maryland,240033000632,Frederick High,Frederick County Public Schools
FREEDOM DISTRICT ELEMENTARY,Maryland,240021000534,Freedom District Elementary,Carroll County Public Schools
FREETOWN ELEMENTARY,Maryland,240006001515,Freetown Elementary,Anne Arundel County Public Schools
FRIENDLY HIGH,Maryland,240051001038,Friendly High,Prince George's County Public Schools
FRIENDSHIP VALLEY ELEMENTARY,Maryland,240021000052,Friendship Valley Elementary,Carroll County Public Schools
FRIENDSVILLE ELEMENTARY,Maryland,240036000667,Friendsville Elementary,Garrett County Public Schools
FROST ELEMENTARY,Maryland,240003000016,Frost Elementary,Allegany County Public Schools
FRUITLAND INTERMEDIATE,Maryland,240069001303,Fruitland Intermediate,Wicomico County Public Schools
FRUITLAND PRIMARY,Maryland,240069001151,Fruitland Primary,Wicomico County Public Schools
FULLERTON ELEMENTARY,Maryland,240012000391,Fullerton Elementary,Baltimore County Public Schools
FULTON ELEMENTARY,Maryland,240042000859,Fulton Elementary,Howard County Public Schools
FURLEY ELEMENTARY,Maryland,240009000210,Furley Elementary,Baltimore City Public Schools
FURMAN TEMPLETON PREPARATORY ACADEMY,Maryland,240009000211,Furman Templeton Preparatory Academy,Baltimore City Public Schools
G. JAMES GHOLSON MIDDLE,Maryland,240051001211,G. James Gholson Middle,Prince George's County Public Schools
G. LISBY ELEMENTARY AT HILLSDALE,Maryland,240039000700,G. Lisby Elementary at Hillsdale,Harford County Public Schools
GAITHERSBURG ELEMENTARY,Maryland,240048000836,Gaithersburg Elementary,Montgomery County Public Schools
GAITHERSBURG HIGH,Maryland,240048000838,Gaithersburg High,Montgomery County Public Schools
GAITHERSBURG MIDDLE,Maryland,240048000837,Gaithersburg Middle,Montgomery County Public Schools
GALE-BAILEY ELEMENTARY SCHOOL,Maryland,240027000588,Gale-Bailey Elementary School,Charles County Public Schools
GALENA ELEMENTARY SCHOOL,Maryland,240045001695,Galena Elementary School,Kent County Public Schools
GALWAY ELEMENTARY,Maryland,240048000839,Galway Elementary,Montgomery County Public Schools
GARDENVILLE ELEMENTARY,Maryland,240009000212,Gardenville Elementary,Baltimore City Public Schools
GARRETT HEIGHTS ELEMENTARY/MIDDLE,Maryland,240009000213,Garrett Heights Elementary/Middle,Baltimore City Public Schools
GARRETT PARK ELEMENTARY,Maryland,240048000840,Garrett Park Elementary,Montgomery County Public Schools
GATEWAY SCHOOL,Maryland,240021001548,Gateway School,Carroll County Public Schools
GAYWOOD ELEMENTARY,Maryland,240051001041,Gaywood Elementary,Prince George's County Public Schools
GENERAL JOHN STRICKER MIDDLE,Maryland,240012001438,General John Stricker Middle,Baltimore County Public Schools
GENERAL SMALLWOOD MIDDLE SCHOOL,Maryland,240027000589,General Smallwood Middle School,Charles County Public Schools
GEORGE T. CROMWELL ELEMENTARY,Maryland,240006000071,George T. Cromwell Elementary,Anne Arundel County Public Schools
GEORGE W. CARVER CENTER FOR ARTS & TECHNOLOGY,Maryland,240012000230,George W. Carver Center for Arts & Technology,Baltimore County Public Schools
GEORGE W. F. MCMECHEN HIGH,Maryland,240009000219,George W. F. McMechen High,Baltimore City Public Schools
GEORGE WASHINGTON CARVER ELEMENTARY,Maryland,240060001483,George Washington Carver Elementary,St. Mary's County Public Schools
GEORGE WASHINGTON ELEMENTARY,Maryland,240009000220,George Washington Elementary,Baltimore City Public Schools
GEORGE'S CREEK ELEMENTARY,Maryland,240003000017,George's Creek Elementary,Allegany County Public Schools
GEORGETOWN EAST ELEMENTARY,Maryland,240006000073,Georgetown East Elementary,Anne Arundel County Public Schools
GEORGIAN FOREST ELEMENTARY,Maryland,240048000842,Georgian Forest Elementary,Montgomery County Public Schools
GERMANTOWN ELEMENTARY,Maryland,240048000843,Germantown Elementary,Montgomery County Public Schools
GERMANTOWN ELEMENTARY,Maryland,240006000074,Germantown Elementary,Anne Arundel County Public Schools
GILMOR ELEMENTARY,Maryland,240009000221,Gilmor Elementary,Baltimore City Public Schools
GILPIN MANOR ELEMENTARY,Maryland,240024000569,Gilpin Manor Elementary,Cecil County Public Schools
GLADE ELEMENTARY,Maryland,240033000620,Glade Elementary,Frederick County Public Schools
GLADYS NOON SPELLMAN ELEMENTARY,Maryland,240051090458,Gladys Noon Spellman Elementary,Prince George's County Public Schools
GLASSMANOR ELEMENTARY,Maryland,240051001042,Glassmanor Elementary,Prince George's County Public Schools
GLEN AVENUE SCHOOL,Maryland,240069001304,Glen Avenue School,Wicomico County Public Schools
GLEN BURNIE HIGH,Maryland,240006000075,Glen Burnie High,Anne Arundel County Public Schools
GLEN BURNIE PARK ELEMENTARY,Maryland,240006000076,Glen Burnie Park Elementary,Anne Arundel County Public Schools
GLEN HAVEN ELEMENTARY,Maryland,240048000844,Glen Haven Elementary,Montgomery County Public Schools
GLENALLAN ELEMENTARY,Maryland,240048000845,Glenallan Elementary,Montgomery County Public Schools
GLENARDEN WOODS ELEMENTARY,Maryland,240051001043,Glenarden Woods Elementary,Prince George's County Public Schools
GLENDALE ELEMENTARY,Maryland,240006000077,Glendale Elementary,Anne Arundel County Public Schools
GLENELG HIGH,Maryland,240042000731,Glenelg High,Howard County Public Schools
GLENMAR ELEMENTARY,Maryland,240012001372,Glenmar Elementary,Baltimore County Public Schools
GLENMOUNT ELEMENTARY/MIDDLE,Maryland,240009000222,Glenmount Elementary/Middle,Baltimore City Public Schools
GLENN DALE ELEMENTARY,Maryland,240051001474,Glenn Dale Elementary,Prince George's County Public Schools
GLENRIDGE ELEMENTARY,Maryland,240051001495,Glenridge Elementary,Prince George's County Public Schools
GLENWOOD MIDDLE,Maryland,240042000732,Glenwood Middle,Howard County Public Schools
GLYNDON ELEMENTARY,Maryland,240012001346,Glyndon Elementary,Baltimore County Public Schools
GOLDEN RING MIDDLE,Maryland,240012001439,Golden Ring Middle,Baltimore County Public Schools
GORMAN CROSSING ELEMENTARY,Maryland,240042001032,Gorman Crossing Elementary,Howard County Public Schools
GOSHEN ELEMENTARY,Maryland,240048001511,Goshen Elementary,Montgomery County Public Schools
GOV. THOMAS JOHNSON HIGH,Maryland,240033000634,Gov. Thomas Johnson High,Frederick County Public Schools
GOV. THOMAS JOHNSON MIDDLE,Maryland,240033001549,Gov. Thomas Johnson Middle,Frederick County Public Schools
GOVANS ELEMENTARY,Maryland,240009000223,Govans Elementary,Baltimore City Public Schools
GRACELAND PARK/O'DONNELL HEIGHTS ELEMENTARY/MIDDLE,Maryland,240009000224,Graceland Park/O'Donnel Heights Elementary/Middle,Baltimore City Public Schools
GRANGE ELEMENTARY,Maryland,240012000395,Grange Elementary,Baltimore County Public Schools
GRANTSVILLE ELEMENTARY,Maryland,240036000668,Grantsville Elementary,Garrett County Public Schools
GRASONVILLE ELEMENTARY SCHOOL,Maryland,240054001193,Grasonville Elementary School,Queen Anne's County Public Schools
GREAT MILLS HIGH,Maryland,240060001224,Great Mills High,St. Mary's County Public Schools
GREAT SENECA CREEK ELEMENTARY,Maryland,240048001567,Great Seneca Creek Elementary,Montgomery County Public Schools
GREEN HOLLY ELEMENTARY SCHOOL,Maryland,240060001221,Green Holly Elementary School,St. Mary's County Public Schools
GREEN STREET ACADEMY,Maryland,240009001691,Green Street Academy,Baltimore City Public Schools
GREEN VALLEY ACADEMY AT EDGAR ALLAN POE,Maryland,240051001047,Green Valley Academy at Edgar Allan Poe,Prince George's County Public Schools
GREEN VALLEY ELEMENTARY,Maryland,240033000635,Green Valley Elementary,Frederick County Public Schools
GREENBELT ELEMENTARY,Maryland,240051000512,Greenbelt Elementary,Prince George's County Public Schools
GREENBELT MIDDLE,Maryland,240051001049,Greenbelt Middle,Prince George's County Public Schools
GREENBRIER ELEMENTARY,Maryland,240066001268,Greenbrier Elementary,Washingtion County Public Schools
GREENCASTLE ELEMENTARY,Maryland,240048001510,Greencastle Elementary,Montgomery County Public Schools
GREENSBORO ELEMENTARY SCHOOL,Maryland,240018000522,Greensboro Elementary School,Caroline County Public Schools
GREENVIEW KNOLLS ELEMENTARY,Maryland,240060001226,Greenview Knolls Elementary,St. Mary's County Public Schools
GREENWOOD ELEMENTARY,Maryland,240048000846,Greenwood Elementary,Montgomery County Public Schools
GREENWOOD ELEMENTARY SCHOOL,MARYLAND,240057001743,Greenwood Elementary School,Somerset County Public Schools
GUILFORD ELEMENTARY,Maryland,240042000733,Guilford Elementary,Howard County Public Schools
GUILFORD ELEMENTARY/MIDDLE,Maryland,240009001428,Guilford Elementary/Middle,Baltimore City Public Schools
GUNPOWDER ELEMENTARY,Maryland,240012000397,Gunpowder Elementary,Baltimore County Public Schools
GWYNN PARK HIGH,Maryland,240051001052,Gwynn Park High,Prince George's County Public Schools
GWYNN PARK MIDDLE,Maryland,240051001051,Gwynn Park Middle,Prince George's County Public Schools
GWYNNS FALLS ELEMENTARY,Maryland,240009000229,Gwynns Falls Elementary,Baltimore City Public Schools
H. H. GARNETT ELEMENTARY,Maryland,240045000765,H. H. Garnett Elementary,Kent County Public Schools
