SchoolN,State Name,NCESSCH,School Name,Agency Name
MURRAY HILL MIDDLE,Maryland,240042000860,Murray Hill Middle,Howard County Public Schools
MUTUAL ELEMENTARY,Maryland,240015000514,Mutual Elementary,Calvert County Public Schools
MYERSVILLE ELEMENTARY,Maryland,240033000642,Myersville Elementary,Frederick County Public Schools
N.A.C.A. FREEDOM AND DEMOCRACY ACADEMY II,Maryland,240009001678,N.A.C.A. Freedom and Democracy Academy II,Baltimore City Public Schools
NANTUCKET ELEMENTARY,Maryland,240006001658,Nantucket Elementary,Anne Arundel County Public Schools
NATIONAL ACADEMY FOUNDATION,Maryland,240009001339,National Academy Foundation,Baltimore City Public Schools
NEELSVILLE MIDDLE,Maryland,240048000759,Neelsville Middle,Montgomery County Public Schools
NEW ERA ACADEMY,Maryland,240009001559,New Era Academy,Baltimore City Public Schools
NEW HAMPSHIRE ESTATES ELEM,Maryland,240048000881,New Hampshire Estates Elem,Montgomery County Public Schools
NEW MARKET ELEMENTARY,Maryland,240033000643,New Market Elementary,Frederick County Public Schools
NEW MARKET MIDDLE,Maryland,240033001379,New Market Middle,Frederick County Public Schools
NEW MIDWAY/WOODSBORO ELEMENTARY,Maryland,240033001442,New Midway/Woodsboro Elementary,Frederick County Public Schools
NEW SONG ACADEMY,Maryland,240009000884,New Song Academy,Baltimore City Public Schools
NEW TOWN ELEMENTARY,Maryland,240012001159,New Town Elementary,Baltimore County Public Schools
NEW TOWN HIGH,Maryland,240012001547,New Town High,Baltimore County Public Schools
NEWPORT MILL MIDDLE,Maryland,240048001207,Newport Mill Middle,Montgomery County Public Schools
NICHOLAS OREM MIDDLE,Maryland,240051001112,Nicholas Orem Middle,Prince George's County Public Schools
NORRISVILLE ELEMENTARY,Maryland,240039000708,Norrisville Elementary,Harford County Public Schools
NORTH BEND ELEMENTARY,Maryland,240039090476,North Bend Elementary,Harford County Public Schools
NORTH BEND ELEMENTARY/MIDDLE,Maryland,240009000602,North Bend Elementary/Middle,Baltimore City Public Schools
NORTH BETHESDA MIDDLE,Maryland,240048001118,North Bethesda Middle,Montgomery County Public Schools
NORTH CAROLINE HIGH SCHOOL,Maryland,240018000523,North Caroline High School,Caroline County Public Schools
NORTH CARROLL MIDDLE,Maryland,240021000542,North Carroll Middle,Carroll County Public Schools
NORTH CHEVY CHASE ELEMENTARY,Maryland,240048001452,North Chevy Chase Elementary,Montgomery County Public Schools
NORTH COUNTY HIGH,Maryland,240006090441,North County High,Anne Arundel County Public Schools
NORTH DORCHESTER HIGH SCHOOL,Maryland,240030000618,North Dorchester High School,Dorchester County Public Schools
NORTH DORCHESTER MIDDLE SCHOOL,Maryland,240030000619,North Dorchester Middle School,Dorchester County Public Schools
NORTH EAST ELEMENTARY,Maryland,240024000573,North East Elementary,Cecil County Public Schools
NORTH EAST HIGH,Maryland,240024000575,North East High,Cecil County Public Schools
NORTH EAST MIDDLE,Maryland,240024000574,North East Middle,Cecil County Public Schools
NORTH FORESTVILLE ELEMENTARY,Maryland,240051001113,North Forestville Elementary,Prince George's County Public Schools
NORTH FREDERICK ELEMENTARY,Maryland,240033000645,North Frederick Elementary,Frederick County Public Schools
NORTH GLEN ELEMENTARY,Maryland,240006000102,North Glen Elementary,Anne Arundel County Public Schools
NORTH HAGERSTOWN HIGH,Maryland,240066001275,North Hagerstown High,Washingtion County Public Schools
NORTH HARFORD ELEMENTARY,Maryland,240039001443,North Harford Elementary,Harford County Public Schools
NORTH HARFORD HIGH,Maryland,240039000710,North Harford High,Harford County Public Schools
NORTH HARFORD MIDDLE,Maryland,240039000709,North Harford Middle,Harford County Public Schools
NORTH POINT HIGH SCHOOL,Maryland,240027001416,North Point High School,Charles County Public Schools
NORTH SALISBURY ELEMENTARY,Maryland,240069001307,North Salisbury Elementary,Wicomico County Public Schools
NORTHEAST ELEMENTARY,Maryland,240003000024,Northeast Elementary,Allegany County Public Schools
NORTHEAST HIGH,Maryland,240006000103,Northeast High,Anne Arundel County Public Schools
NORTHEAST MIDDLE,Maryland,240006000072,George Fox Middle,Anne Arundel County Public Schools
NORTHERN GARRETT HIGH SCHOOL,Maryland,240036000671,Northern Garrett High School,Garrett County Public Schools
NORTHERN HIGH,Maryland,240015000516,Northern High,Calvert County Public Schools
NORTHERN MIDDLE,Maryland,240015000515,Northern Middle,Calvert County Public Schools
NORTHERN MIDDLE,Maryland,240066001276,Northern Middle,Washingtion County Public Schools
NORTHERN MIDDLE SCHOOL,Maryland,240036001351,Northern Middle School,Garrett County Public Schools
NORTHFIELD ELEMENTARY,Maryland,240042000744,Northfield Elementary,Howard County Public Schools
NORTHVIEW ELEMENTARY,Maryland,240051001641,Northview Elementary,Prince George's County Public Schools
NORTHWEST ACADEMY OF HEALTH SCIENCES,Maryland,240012001431,Northwest Academy of Health Sciences,Baltimore County Public Schools
NORTHWEST HIGH,Maryland,240048001040,Northwest High,Montgomery County Public Schools
NORTHWEST MIDDLE,Maryland,240021000543,Northwest Middle,Carroll County Public Schools
NORTHWESTERN ELEMENTARY,Maryland,240069001308,Northwestern Elementary,Wicomico County Public Schools
NORTHWESTERN EVENING/SATURDAY HIGH,Maryland,240051001054,Northwestern Evening/Saturday High,Prince George's County Public Schools
NORTHWESTERN HIGH,Maryland,240051001114,Northwestern High,Prince George's County Public Schools
NORTHWOOD APPOLD COMMUNITY ACADEMY,Maryland,240009001529,Northwood Appold Community Academy,Baltimore City Public Schools
NORTHWOOD ELEMENTARY,Maryland,240009000293,Northwood Elementary,Baltimore City Public Schools
NORTHWOOD HIGH,Maryland,240048001366,Northwood High School,Montgomery County Public Schools
NORWOOD ELEMENTARY,Maryland,240012000434,Norwood Elementary,Baltimore County Public Schools
OAK HILL ELEMENTARY,Maryland,240006000104,Oak Hill Elementary,Anne Arundel County Public Schools
OAK VIEW ELEMENTARY,Maryland,240048000887,Oak View Elementary,Montgomery County Public Schools
OAKDALE ELEMENTARY,Maryland,240033001165,Oakdale Elementary,Frederick County Public Schools
OAKDALE HIGH,Maryland,240033001688,Oakdale High,Frederick County Public Schools
OAKDALE MIDDLE,Maryland,240033001163,Oakdale Middle,Frederick County Public Schools
OAKLAND MILLS HIGH,Maryland,240042000745,Oakland Mills High,Howard County Public Schools
OAKLAND MILLS MIDDLE,Maryland,240042000746,Oakland Mills Middle,Howard County Public Schools
OAKLAND TERRACE ELEMENTARY,Maryland,240048000888,Oakland Terrace Elementary,Montgomery County Public Schools
OAKLANDS ELEMENTARY,Maryland,240051001117,Oaklands Elementary,Prince George's County Public Schools
OAKLEIGH ELEMENTARY,Maryland,240012000435,Oakleigh Elementary,Baltimore County Public Schools
OAKVILLE ELEMENTARY,Maryland,240060001233,Oakville Elementary,St. Mary's County Public Schools
OAKWOOD ELEMENTARY,Maryland,240006000105,Oakwood Elementary,Anne Arundel County Public Schools
OCEAN CITY ELEMENTARY,Maryland,240072001327,Ocean City Elementary,Worcester County Public Schools
ODENTON ELEMENTARY,Maryland,240006000106,Odenton Elementary,Anne Arundel County Public Schools
ODESSA SHANNON MIDDLE,Maryland,240048000806,Col. E. Brooke Lee Middle,Montgomery County Public Schools
OKLAHOMA ROAD MIDDLE,Maryland,240021000835,Oklahoma Road Middle,Carroll County Public Schools
OLD FORGE ELEMENTARY,Maryland,240066001277,Old Forge Elementary,Washingtion County Public Schools
OLD MILL HIGH,Maryland,240006000109,Old Mill High,Anne Arundel County Public Schools
OLD MILL MIDDLE NORTH,Maryland,240006000107,Old Mill Middle North,Anne Arundel County Public Schools
OLD MILL MIDDLE SOUTH,Maryland,240006000108,Old Mill Middle South,Anne Arundel County Public Schools
OLD POST ROAD ELEMENTARY,Maryland,240039000716,William Paca/Old Post Road Elementary,Harford County Public Schools
OLIVER BEACH ELEMENTARY,Maryland,240012001406,Oliver Beach Elementary,Baltimore County Public Schools
OLNEY ELEMENTARY,Maryland,240048000889,Olney Elementary,Montgomery County Public Schools
ORCHARD GROVE ELEMENTARY,Maryland,240033000807,Orchard Grove Elementary,Frederick County Public Schools
OREMS ELEMENTARY,Maryland,240012000437,Orems Elementary,Baltimore County Public Schools
OVERLEA HIGH,Maryland,240012000438,Overlea High & Academy of Finance,Baltimore County Public Schools
OVERLOOK ELEMENTARY,Maryland,240006000110,Overlook Elementary,Anne Arundel County Public Schools
OVERLOOK ELEMENTARY,Maryland,240051001119,Overlook Elementary,Prince George's County Public Schools
OWINGS MILLS ELEMENTARY,Maryland,240012000439,Owings Mills Elementary,Baltimore County Public Schools
OWINGS MILLS HIGH,Maryland,240012001347,Owings Mills High,Baltimore County Public Schools
OXON HILL ELEMENTARY,Maryland,240051001121,Oxon Hill Elementary,Prince George's County Public Schools
OXON HILL HIGH,Maryland,240051001123,Oxon Hill High,Prince George's County Public Schools
OXON HILL MIDDLE,Maryland,240051001471,Oxon Hill Middle,Prince George's County Public Schools
PADONIA INTERNATIONAL ELEMENTARY,Maryland,240012090440,Padonia International Elementary,Baltimore County Public Schools
PAINT BRANCH ELEMENTARY,Maryland,240051001124,Paint Branch Elementary,Prince George's County Public Schools
PAINT BRANCH HIGH,Maryland,240048000890,Paint Branch High,Montgomery County Public Schools
PANGBORN ELEMENTARY,Maryland,240066001278,Pangborn Elementary,Washingtion County Public Schools
PANORAMA ELEMENTARY,Maryland,240051001556,Panorama Elementary,Prince George's County Public Schools
PARAMOUNT ELEMENTARY,Maryland,240066000752,Paramount Elementary,Washingtion County Public Schools
PARK ELEMENTARY,Maryland,240006000111,Park Elementary,Anne Arundel County Public Schools
PARK HALL ELEMENTARY,Maryland,240060001234,Park Hall Elementary,St. Mary's County Public Schools
PARK HEIGHTS ACADEMY,Maryland,240009000192,Edgecombe Circle Elementary,Baltimore City Public Schools
PARKDALE HIGH,Maryland,240051001126,Parkdale High,Prince George's County Public Schools
PARKLAND MIDDLE,Maryland,240048000891,Parkland Middle,Montgomery County Public Schools
PARKSIDE ELEMENTARY,Maryland,240003000026,Parkside Elementary,Allegany County Public Schools
PARKSIDE HIGH,Maryland,240069001309,Parkside High,Wicomico County Public Schools
PARKVILLE HIGH,Maryland,240012000443,Parkville High & Center for Math/Science,Baltimore County Public Schools
PARKVILLE MIDDLE,Maryland,240012000442,Parkville Middle & Center of Technology,Baltimore County Public Schools
PARKWAY ELEMENTARY,Maryland,240033000646,Parkway Elementary,Frederick County Public Schools
PARR'S RIDGE ELEMENTARY,Maryland,240021001414,Parr's Ridge Elementary,Carroll County Public Schools
PASADENA ELEMENTARY,Maryland,240006000113,Pasadena Elementary,Anne Arundel County Public Schools
PATAPSCO HIGH AND CENTER FOR ARTS,Maryland,240012000444,Patapsco High & Center for Arts,Baltimore County Public Schools
PATAPSCO MIDDLE,Maryland,240042000748,Patapsco Middle,Howard County Public Schools
PATTERSON HIGH,Maryland,240009000297,Patterson High,Baltimore City Public Schools
PATTERSON MILL HIGH SCHOOL,Maryland,240039001638,Patterson Mill High School,Harford County Public Schools
PATTERSON MILL MIDDLE SCHOOL,Maryland,240039001642,Patterson Mill Middle School,Harford County Public Schools
PATTERSON PARK PUBLIC CHARTER SCHOOL,Maryland,240009001480,Patterson Park Public Charter School,Baltimore City Public Schools
PATUXENT APPEAL ELEMENTARY CAMPUS,Maryland,240015000504,Patuxent Appeal Elementary Campus,Calvert County Public Schools
PATUXENT ELEMENTARY,Maryland,240051001129,Patuxent Elementary,Prince George's County Public Schools
PATUXENT HIGH,Maryland,240015000611,Patuxent High,Calvert County Public Schools
PATUXENT VALLEY MIDDLE,Maryland,240042001522,Patuxent Valley Middle,Howard County Public Schools
PAUL LAURENCE DUNBAR HIGH,Maryland,240009000298,Paul Laurence Dunbar High,Baltimore City Public Schools
PEMBERTON ELEMENTARY,Maryland,240069001310,Pemberton Elementary,Wicomico County Public Schools
PEP - ITINERANT,Maryland,240048001635,PEP - Itinerant,Montgomery County Public Schools
PERRY HALL ELEMENTARY,Maryland,240012000445,Perry Hall Elementary,Baltimore County Public Schools
PERRY HALL HIGH,Maryland,240012000446,Perry Hall High,Baltimore County Public Schools
PERRY HALL MIDDLE,Maryland,240012000447,Perry Hall Middle,Baltimore County Public Schools
PERRYVILLE ELEMENTARY,Maryland,240024000576,Perryville Elementary,Cecil County Public Schools
PERRYVILLE HIGH,Maryland,240024000577,Perryville High,Cecil County Public Schools
PERRYVILLE MIDDLE,Maryland,240024000578,Perryville Middle,Cecil County Public Schools
PERRYWOOD ELEMENTARY,Maryland,240051000866,Perrywood Elementary,Prince George's County Public Schools
PERSHING HILL ELEMENTARY,Maryland,240006000114,Pershing Hill Elementary,Anne Arundel County Public Schools
PHELPS LUCK ELEMENTARY,Maryland,240042000749,Phelps Luck Elementary,Howard County Public Schools
PHOENIX ACADEMY,Maryland,240006001714,Phoenix Academy,Anne Arundel County Public Schools
PHYLLIS E. WILLIAMS ELEMENTARY,Maryland,240051001130,Phyllis E. Williams Elementary,Prince George's County Public Schools
PICCOWAXEN MIDDLE SCHOOL,Maryland,240027000604,Piccowaxen Middle School,Charles County Public Schools
PIKESVILLE HIGH,Maryland,240012000449,Pikesville High,Baltimore County Public Schools
PIKESVILLE MIDDLE,Maryland,240012000448,Pikesville Middle,Baltimore County Public Schools
PIMLICO ELEMENTARY/MIDDLE,Maryland,240009000299,Pimlico Elementary/Middle,Baltimore City Public Schools
PINE CREST ELEMENTARY,Maryland,240048000893,Pine Crest Elementary,Montgomery County Public Schools
PINE GROVE ELEMENTARY,Maryland,240012000450,Pine Grove Elementary,Baltimore County Public Schools
PINE GROVE MIDDLE,Maryland,240012000451,Pine Grove Middle,Baltimore County Public Schools
PINEHURST ELEMENTARY,Maryland,240069001311,Pinehurst Elementary,Wicomico County Public Schools
PINEWOOD ELEMENTARY,Maryland,240012000452,Pinewood Elementary,Baltimore County Public Schools
PINEY BRANCH ELEMENTARY,Maryland,240048000894,Piney Branch Elementary,Montgomery County Public Schools
PINEY ORCHARD ELEMENTARY,Maryland,240006002944,Piney Orchard Elementary,Anne Arundel County Public Schools
PINEY POINT ELEMENTARY,Maryland,240060001235,Piney Point Elementary,St. Mary's County Public Schools
PINEY RIDGE ELEMENTARY,Maryland,240021090466,Piney Ridge Elementary,Carroll County Public Schools
PITTSVILLE ELEMENTARY & MIDDLE,Maryland,240069001312,Pittsville Elementary & Middle,Wicomico County Public Schools
PLEASANT PLAINS ELEMENTARY,Maryland,240012000453,Pleasant Plains Elementary,Baltimore County Public Schools
PLEASANT VALLEY ELEMENTARY,Maryland,240066001280,Pleasant Valley Elementary,Washingtion County Public Schools
PLUM POINT ELEMENTARY,Maryland,240015090465,Plum Point Elementary,Calvert County Public Schools
PLUM POINT MIDDLE,Maryland,240015000027,Plum Point Middle,Calvert County Public Schools
POCOMOKE ELEMENTARY,Maryland,240072001328,Pocomoke Elementary,Worcester County Public Schools
POCOMOKE HIGH,Maryland,240072001330,Pocomoke High,Worcester County Public Schools
POCOMOKE MIDDLE,Maryland,240072001329,Pocomoke Middle,Worcester County Public Schools
POINT PLEASANT ELEMENTARY,Maryland,240006000116,Point Pleasant Elementary,Anne Arundel County Public Schools
POINTER RIDGE ELEMENTARY,Maryland,240051001131,Pointer Ridge Elementary,Prince George's County Public Schools
POINTERS RUN ELEMENTARY,Maryland,240042090478,Pointers Run Elementary,Howard County Public Schools
POOLESVILLE ELEMENTARY,Maryland,240048000896,Poolesville Elementary,Montgomery County Public Schools
POOLESVILLE HIGH,Maryland,240048000897,Poolesville High,Montgomery County Public Schools
PORT TOWNS ELEMENTARY,Maryland,240051001368,Port Towns Elementary,Prince George's County Public Schools
POST SECONDARY PROGRAM,Maryland,240021001348,Post Secondary Program,Carroll County Public Schools
POT SPRING ELEMENTARY,Maryland,240012000454,Pot Spring Elementary,Baltimore County Public Schools
POTOMAC ELEMENTARY,Maryland,240048000898,Potomac Elementary,Montgomery County Public Schools
POTOMAC HEIGHTS ELEMENTARY,Maryland,240066001281,Potomac Heights Elementary,Washingtion County Public Schools
POTOMAC HIGH,Maryland,240051001133,Potomac High,Prince George's County Public Schools
POTOMAC LANDING ELEMENTARY,Maryland,240051001132,Potomac Landing Elementary,Prince George's County Public Schools
POWHATAN ELEMENTARY,Maryland,240012000455,Powhatan Elementary,Baltimore County Public Schools
PREKINDERGARTEN OFFSITES,Maryland,240051001476,Prekindergarten Offsites,Prince George's County Public Schools
PRESTON ELEMENTARY SCHOOL,Maryland,240018000524,Preston Elementary School,Caroline County Public Schools
PRETTYBOY ELEMENTARY,Maryland,240012000456,Prettyboy Elementary,Baltimore County Public Schools
PRIDE SCHOOL,Maryland,240021001349,PRIDE School,Carroll County Public Schools
PRINCE STREET SCHOOL,Maryland,240069001314,Prince Street School,Wicomico County Public Schools
PRINCESS ANNE ELEMENTARY SCHOOL,MARYLAND,240057001742,Princess Anne Elementary School,Somerset County Public Schools
PRINCETON ELEMENTARY,Maryland,240051001136,Princeton Elementary,Prince George's County Public Schools
PROSPECT MILL ELEMENTARY,Maryland,240039000712,Prospect Mill Elementary,Harford County Public Schools
QUARTERFIELD ELEMENTARY,Maryland,240006000117,Quarterfield Elementary,Anne Arundel County Public Schools
QUEEN ANNE'S COUNTY HIGH SCHOOL,Maryland,240054001195,Queen Anne's County High School,Queen Anne's County Public Schools
QUINCE ORCHARD HIGH,Maryland,240048001509,Quince Orchard High,Montgomery County Public Schools
RACHEL CARSON ELEMENTARY,Maryland,240048090454,Rachel Carson Elementary,Montgomery County Public Schools
RANDALLSTOWN ELEMENTARY,Maryland,240012000457,Randallstown Elementary,Baltimore County Public Schools
RANDALLSTOWN HIGH,Maryland,240012000458,Randallstown High,Baltimore County Public Schools
RED HOUSE RUN ELEMENTARY,Maryland,240012000459,Red House Run Elementary,Baltimore County Public Schools
RED PUMP ELEMENTARY SCHOOL,Maryland,240039001698,Red Pump Elementary School,Harford County Public Schools
REDLAND MIDDLE,Maryland,240048000901,Redland Middle,Montgomery County Public Schools
REGINALD F. LEWIS HIGH,Maryland,240009001331,Reginald F. Lewis High,Baltimore City Public Schools
REISTERSTOWN ELEMENTARY,Maryland,240012000460,Reisterstown Elementary,Baltimore County Public Schools
RELAY ELEMENTARY,Maryland,240012000461,Relay Elementary,Baltimore County Public Schools
RENAISSANCE ACADEMY,Maryland,240009001531,Renaissance Academy,Baltimore City Public Schools
RESERVOIR HIGH,Maryland,240042001200,Reservoir High,Howard County Public Schools
RICHARD HENRY LEE ELEMENTARY,Maryland,240006000118,Richard Henry Lee Elementary,Anne Arundel County Public Schools
RICHARD MONTGOMERY HIGH,Maryland,240048000902,Richard Montgomery High,Montgomery County Public Schools
RIDERWOOD ELEMENTARY,Maryland,240012000462,Riderwood Elementary,Baltimore County Public Schools
RIDGE ELEMENTARY,Maryland,240060001236,Ridge Elementary,St. Mary's County Public Schools
RIDGE/RUXTON SCHOOL,Maryland,240012000483,Ridge Ruxton,Baltimore County Public Schools
RIDGECREST ELEMENTARY,Maryland,240051001138,Ridgecrest Elementary,Prince George's County Public Schools
RIDGELY ELEMENTARY SCHOOL,Maryland,240018000525,Ridgely Elementary School,Caroline County Public Schools
RIDGELY MIDDLE,Maryland,240012001434,Ridgely Middle,Baltimore County Public Schools
RIDGEVIEW MIDDLE,Maryland,240048000903,Ridgeview Middle,Montgomery County Public Schools
RIDGEWAY ELEMENTARY,Maryland,240006000119,Ridgeway Elementary,Anne Arundel County Public Schools
RING FACTORY ELEMENTARY,Maryland,240039090447,Ring Factory Elementary,Harford County Public Schools
RIPPLING WOODS ELEMENTARY,Maryland,240006000120,Rippling Woods Elementary,Anne Arundel County Public Schools
RISING SUN ELEMENTARY,Maryland,240024000579,Rising Sun Elementary,Cecil County Public Schools
RISING SUN HIGH,Maryland,240024090469,Rising Sun High,Cecil County Public Schools
RISING SUN MIDDLE SCHOOL,Maryland,240024000580,Rising Sun Middle School,Cecil County Public Schools
RITCHIE PARK ELEMENTARY,Maryland,240048000904,Ritchie Park Elementary,Montgomery County Public Schools
RIVER HILL HIGH,Maryland,240042000816,River Hill High,Howard County Public Schools
RIVERDALE ELEMENTARY,Maryland,240051001140,Riverdale Elementary,Prince George's County Public Schools
RIVERSIDE ELEMENTARY,Maryland,240039000713,Riverside Elementary,Harford County Public Schools
RIVERVIEW ELEMENTARY,Maryland,240012000464,Riverview Elementary,Baltimore County Public Schools
RIVIERA BEACH ELEMENTARY,Maryland,240006000121,Riviera Beach Elementary,Anne Arundel County Public Schools
ROBERT D. STETHEM EDUCATIONAL CENTER,Maryland,240027001395,Robert D. Stethem Educational Center,Charles County Public Schools
ROBERT FROST ELEMENTARY,Maryland,240051001142,Robert Frost Elementary,Prince George's County Public Schools
ROBERT FROST MIDDLE SCHOOL,Maryland,240048001447,Robert Frost Middle School,Montgomery County Public Schools
ROBERT GODDARD MONTESSORI,Maryland,240051001251,Robert Goddard Montessori,Prince George's County Public Schools
ROBERT MOTON ELEMENTARY,Maryland,240021000544,Robert Moton Elementary,Carroll County Public Schools
ROBERT R. GRAY ELEMENTARY,Maryland,240051001183,Robert R. Gray Elementary,Prince George's County Public Schools
ROBERT W. COLEMAN ELEMENTARY,Maryland,240009000303,Robert W. Coleman Elementary,Baltimore City Public Schools
ROBERTO W. CLEMENTE MIDDLE,Maryland,240048000493,Roberto W. Clemente Middle,Montgomery County Public Schools
ROCK CREEK,Maryland,240033000647,Rock Creek School,Frederick County Public Schools
ROCK CREEK FOREST ELEMENTARY,Maryland,240048000907,Rock Creek Forest Elementary,Montgomery County Public Schools
ROCK CREEK VALLEY ELEMENTARY,Maryland,240048000909,Rock Creek Valley Elementary,Montgomery County Public Schools
ROCK HALL ELEMENTARY,Maryland,240045000770,Rock Hall Elementary,Kent County Public Schools
ROCK TERRACE SCHOOL,Maryland,240048001460,Rock Terrace School,Montgomery County Public Schools
ROCK VIEW ELEMENTARY,Maryland,240048000908,Rock View Elementary,Montgomery County Public Schools
ROCKBURN ELEMENTARY,Maryland,240042000396,Rockburn Elementary,Howard County Public Schools
ROCKLAND WOODS ELEMENTARY,Maryland,240066001667,Rockland Woods Elementary,Washingtion County Public Schools
ROCKLEDGE ELEMENTARY,Maryland,240051001144,Rockledge Elementary,Prince George's County Public Schools
ROCKVILLE HIGH,Maryland,240048000912,Rockville High,Montgomery County Public Schools
ROCKY HILL MIDDLE,Maryland,240048000660,Rocky Hill Middle,Montgomery County Public Schools
RODGERS FORGE ELEMENTARY,Maryland,240012000465,Rodgers Forge Elementary,Baltimore County Public Schools
ROGERS HEIGHTS ELEMENTARY,Maryland,240051001146,Rogers Heights Elementary,Prince George's County Public Schools
ROLAND PARK ELEMENTARY/MIDDLE,Maryland,240009000306,Roland Park Elementary/Middle,Baltimore City Public Schools
ROLLING KNOLLS ELEMENTARY,Maryland,240006000122,Rolling Knolls Elementary,Anne Arundel County Public Schools
ROLLING TERRACE ELEMENTARY,Maryland,240048000913,Rolling Terrace Elementary,Montgomery County Public Schools
ROOTS AND BRANCHES SCHOOL,Maryland,240009001709,Roots and Branches School,Baltimore City Public Schools
ROSA L. PARKS ELEMENTARY,Maryland,240051001573,Rosa L. Parks Elementary,Prince George's County Public Schools
ROSA M. PARKS MIDDLE,Maryland,240048000181,Rosa M. Parks Middle,Montgomery County Public Schools
ROSARYVILLE ELEMENTARY,Maryland,240051001182,Rosaryville Elementary,Prince George's County Public Schools
ROSCOE R NIX ELEMENTARY,Maryland,240048001572,Roscoe R Nix Elementary,Montgomery County Public Schools
ROSE VALLEY ELEMENTARY,Maryland,240051001148,Rose Valley Elementary,Prince George's County Public Schools
ROSEDALE CENTER,Maryland,240012000831,Rosedale Center,Baltimore County Public Schools
ROSEMARY HILLS ELEMENTARY,Maryland,240048000915,Rosemary Hills Elementary,Montgomery County Public Schools
ROSEMONT ELEMENTARY,Maryland,240048000916,Rosemont Elementary,Montgomery County Public Schools
ROSEMONT ELEMENTARY/MIDDLE,Maryland,240009000307,Rosemont Elementary/Middle,Baltimore City Public Schools
ROUTE 40 ELEMENTARY,Maryland,240036000673,Route 40 Elementary,Garrett County Public Schools
ROYE-WILLIAMS ELEMENTARY,Maryland,240039000711,Roye-Williams Elementary,Harford County Public Schools
RUNNING BROOK ELEMENTARY,Maryland,240042000751,Running Brook Elementary,Howard County Public Schools
RUNNYMEDE ELEMENTARY,Maryland,240021000368,Runnymede Elementary,Carroll County Public Schools
RUTH ANN MONROE PRIMARY,Maryland,240066001707,Ruth Ann Monroe Primary,Washingtion County Public Schools
RUTH PARKER EASON SCHOOL,Maryland,240006001425,Ruth Parker Eason School,Anne Arundel County Public Schools
S. CHRISTA MCAULIFFE ELEMENTARY,MARYLAND,240048010502,S. Christa McAuliffe Elementary,Montgomery County Public Schools
SABILLASVILLE ENVIRONMENTAL SCHOOL,Maryland,240033000648,Sabillasville Elementary,Frederick County Public Schools
SALEM AVENUE ELEMENTARY,Maryland,240066001283,Salem Avenue Elementary,Washingtion County Public Schools
SALISBURY MIDDLE,Maryland,240069001145,Salisbury Middle,Wicomico County Public Schools
SAMUEL CHASE ELEMENTARY,Maryland,240051001150,Samuel Chase Elementary,Prince George's County Public Schools
SAMUEL OGLE MIDDLE,Maryland,240051001152,Samuel Ogle Middle,Prince George's County Public Schools
SAMUEL P. MASSIE ACADEMY,Maryland,240051001555,Samuel P. Massie Academy,Prince George's County Public Schools
SANDALWOOD ELEMENTARY,Maryland,240012000469,Sandalwood Elementary,Baltimore County Public Schools
SANDTOWN-WINCHESTER ACHIEVEMENT ACADEMY,Maryland,240009000335,William Pinderhughes Elementary/Middle,Baltimore City Public Schools
SANDY HILL ELEMENTARY,Maryland,240030000621,Sandy Hill Elementary,Dorchester County Public Schools
SANDY PLAINS ELEMENTARY,Maryland,240012000470,Sandy Plains Elementary,Baltimore County Public Schools
SANDYMOUNT ELEMENTARY,Maryland,240021000545,Sandymount Elementary,Carroll County Public Schools
SARAH M. ROACH ELEMENTARY,Maryland,240009000312,Sarah M. Roach Elementary,Baltimore City Public Schools
SARGENT SHRIVER ELEMENTARY,Maryland,240048001537,Sargent Shriver Elementary,Montgomery County Public Schools
SCOTCHTOWN HILLS ELEMENTARY,Maryland,240051000714,Scotchtown Hills Elementary,Prince George's County Public Schools
SCOTTS BRANCH ELEMENTARY,Maryland,240012000471,Scotts Branch Elementary,Baltimore County Public Schools
SEABROOK ELEMENTARY,Maryland,240051001154,Seabrook Elementary,Prince George's County Public Schools
SEAT PLEASANT ELEMENTARY,Maryland,240051001155,Seat Pleasant Elementary,Prince George's County Public Schools
SENECA ELEMENTARY,Maryland,240012000472,Seneca Elementary,Baltimore County Public Schools
SENECA VALLEY HIGH,Maryland,240048000918,Seneca Valley High,Montgomery County Public Schools
SEQUOYAH ELEMENTARY,Maryland,240048090456,Sequoyah Elementary,Montgomery County Public Schools
SEVEN LOCKS ELEMENTARY,Maryland,240048000919,Seven Locks Elementary,Montgomery County Public Schools
SEVEN OAKS ELEMENTARY,Maryland,240012000021,Seven Oaks Elementary,Baltimore County Public Schools
SEVEN OAKS ELEMENTARY,Maryland,240006001645,Seven Oaks Elementary,Anne Arundel County Public Schools
SEVENTH DISTRICT ELEMENTARY,Maryland,240012000473,Seventh District Elementary,Baltimore County Public Schools
SEVERN ELEMENTARY,Maryland,240006000123,Severn Elementary,Anne Arundel County Public Schools
SEVERN RIVER MIDDLE,Maryland,240006000124,Severn River Middle,Anne Arundel County Public Schools
SEVERNA PARK ELEMENTARY,Maryland,240006000125,Severna Park Elementary,Anne Arundel County Public Schools
SEVERNA PARK HIGH,Maryland,240006000127,Severna Park High,Anne Arundel County Public Schools
SEVERNA PARK MIDDLE,Maryland,240006000126,Severna Park Middle,Anne Arundel County Public Schools
SHADY GROVE MIDDLE,Maryland,240048001127,Shady Grove Middle,Montgomery County Public Schools
SHADY SIDE ELEMENTARY,Maryland,240006000128,Shady Side Elementary,Anne Arundel County Public Schools
